director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Sam Hargrave,Piyush Khati,Sudipto Balav,Debapriya Saha,Action  Thriller,extraction,Piyush Khati Sudipto Balav Debapriya Saha Sam Hargrave Action  Thriller
John R. Leonetti,Kerry O'Malley,Tony Amendola,Brian Howe,Horror,annabelle,Kerry O'Malley Tony Amendola Brian Howe John R. Leonetti Horror
Alessandro Carloni,Bryan Cranston,Steele Gagnon,Zahara Jolie-Pitt,Animation  Action  Adventure  Comedy  Family,kung fu panda 3,Bryan Cranston Steele Gagnon Zahara Jolie-Pitt Alessandro Carloni Animation  Action  Adventure  Comedy  Family
Jeff Wadlow,Sophie Ellis,Samantha Coughlan,Ellis Crewe-Candy,Action  Adventure  Crime,kick-ass 2,Sophie Ellis Samantha Coughlan Ellis Crewe-Candy Jeff Wadlow Action  Adventure  Crime
Kelsey Mann,Bobby Moynihan,Grace Lu,Liza Lapira,Animation  Adventure  Comedy  Family,inside out 2,Bobby Moynihan Grace Lu Liza Lapira Kelsey Mann Animation  Adventure  Comedy  Family
Eric Darnell,David Schwimmer,Martin Short,Sacha Baron Cohen,Animation  Family  Comedy  Adventure,madagascar 3: europe's most wanted,David Schwimmer Martin Short Sacha Baron Cohen Eric Darnell Animation  Family  Comedy  Adventure
Stephen Sommers,Samuel West,Marek Vašut,Laurence Racine,Horror  Adventure  Action,van helsing,Samuel West Marek Vašut Laurence Racine Stephen Sommers Horror  Adventure  Action
Harald Zwart,Tess Liu,Zhiheng Wang,Jackie Chan,Action  Adventure  Drama  Family,the karate kid,Tess Liu Zhiheng Wang Jackie Chan Harald Zwart Action  Adventure  Drama  Family
Harry Bradbeer,Susan Wokoma,Jay Simpson,Helena Bonham Carter,Adventure  Mystery  Crime,enola holmes,Susan Wokoma Jay Simpson Helena Bonham Carter Harry Bradbeer Adventure  Mystery  Crime
Christian Ditter,Matthew Dillon,Ciaran McGlynn,Tighe Wardell,Romance  Drama  Comedy,"love, rosie",Matthew Dillon Ciaran McGlynn Tighe Wardell Christian Ditter Romance  Drama  Comedy
